video_id,comments
gAX5wYvyQiM,"[""I do not have a related degree. However, I am committing 6-8 hours a day to study. 1 hour to computer science Illuminated,  2 hours for math and 3-5 hours for coding in python. I'm working on coding projects to use learned python skills. How possible is it to be successful in finding a career?"", ""Why you didn't used BeautifulSoup for the web scrapping part ?"", ""Hello Sir, I am pasting my question here though it isn't in line with this video. I want to reproduce your drug discovery 6 or 7 tutorials, but I need to test a combination of two-different drugs against a single target. The tutorials you provided, discuss a single drug vs a single target. Would you recommend or suggest?"", 'star emoji', 'is it possible that you changed your youtube name? It was really hard to find you and you did not appear on my youtube newsfeed :/', 'The music is distracting', 'there is error while i am going to click on finish editing in bright data website the error is in stage-1 code the error is ""argument is invalid, wait must be called with a CSS selector""', ""Thanks it's a nice concept I will take time to see it""]"
tmpXcc4pSPA,"['The day of memorizing and reproducing conventional wisdom is gone. Search, ask and GPT will generate that for you. Schools need to focus on teaching creativity, synthesizing, application, and cooperation. People who know how will always end up working for people who know why.', 'Hi, what is a good way of making money with ML besides a job? Can you do consulting at the beginning of your career? Thanks', 'lets be honest who actually learns in school? you just get a paper. LOLs', 'Hi bro, please review the data science course in coursera ibm certification course.?????', 'Percent Human does a good job detecting AI in school work', ""I think it'll be hard to ban the use of these tools in schools. I.e. it might always be a cat and mouse game with cheating tools and uncover-tools. Many students already use chatGPT and teachers have to deal with it."", 'First']"
QlQPsvHSYfQ,"['This isn\'t much of a ""How to..."" video. I doesn\'t really show how to improve/customize the explanation ChatGPT gives you.\nThis is a much better video for that for anyone who\'s looking: https://www.youtube.com/watch?v=VznoKyh6AXs', 'how to feed it the whole project, not one single file, is there any web-extension to read github sourcecode?', 'Are you using it for other things like write the video script?', 'Very cool 😎', 'Very good  topics  and useful \nThanks', 'Thank you for this dope video! Loved watching every seconds of it!', 'How does it do with undocumented code???', 'Very Cool, thanks for the video', 'ChatGPT can be useful tool for peer programming', ""This is pretty cool stuff. I wonder if it has any capability to spot logic flaws in code. My guess is no, but I suppose there's only one way to find out :p\n\nAlso, I wonder if it can handle lower level code like device drivers, the linux kernel, etc.""]"
ELJzUcYrAIQ,"['when i asked it write code it said it cant', 'Can chatgpt make a code to crash any windows?', 'People appear to be too easily taken in by ChatGPT.  Much of what it does isn\'t in the least miraculous.  In this particular example, you can Google this code and find pretty much the exact same code, including the comments.  It looks like ChatGPT did that and then did a little editing on the comments.\nIf you ask ChatGPT for an essay, the essay is very formulaic.  If you read a few of them, they all begin to sound the same.  I messed around with doing some queries and eventually got ChatGPT to write a sonnet comparing Donald Trump to a chicken.  But there was nothing particularly original about the sonnet.  It was kind of a clever word salad in sonnet format.  No doubt something of a striking accomplishment in its generality, but to call this Artificial Intelligence, as the general public understands that term, is a bit of a stretch.  What it does is clever, in a sense, but it is not in any way ""intelligent"".  It just has a giant database (the internet) and is clever about mish-mashing that data together in a way that easily fools people into thinking that it actually ""knows"" something.', 'Thank you very much for your work. It is really amazing how clear it is!\r\nSuggestion of video: Teach, step by step, how to convert a r shiny app into a PWA.', 'would they start charging for this soon?', 'Your experience is very best. I learned alot from you. Can you make a video on kennard stone algorithm ?', 'Just yesterday, I created an entire analysis using chatgpt. From csv readting, eda - generates 10 plots for me without specifiying what I want, also data wrangling and chunking my dataset to multiple csv. it was fun. I learned a lot.', ""I haven't really done a deep dive into ChatGPT yet (guess I'm always fashionably late to the party), but this gives me a compelling reason to take a look. I've seen some buzz around code writing capabilities, but I really had to see to believe. While this is a simple example, it's certainly non trivial and suggests the network has some kind of understanding of Python and its underlying frameworks. Thanks Professor!""]"
ty_lQUNTR0I,"['did u forgot to edit the ending of the video?', 'There is no limit to the amount of text you can paste?', 'very good , continue', 'I have a simpler method, Prof. Just type “summarize this link: [and add your link here...]” 😅', 'Can we use this for summarizing our lessons courses or there nothing for that', 'Help! I can\'t have this function to work. Basically, every time I press ""enter"" it does not allow to move on to a next paragraph. Instead, it accepts as a execution command. Also, would not accept a longer script. I have no clue of the limitation of length of the script.', ""The last time I did that it says it's too long"", ""It's horrible and overrated."", 'Are you Thai😁?', ""You could just use humata ai to do all this. That's what leading PhDs are doing with science articles nowadays.""]"
Nj_zUMVuRUg,"['The video starts at 2:55\nThanks me later', 'Good job', 'Thanks for this video, was super helpful 💪 can you do other videos on how ChatGPT can help us with our Data Science projects and code please?', ""I'm not able to create an account, and error message comes up.  Is there anything up with the platform?  thanks"", 'Great content as always. Shout out to everyone who uses dark mode everywhere to keep the bugs away.', 'Great introduction into chatGPT! Have you tried the ""act as a ...(Job xyz)"" feature? I found it particularly exciting!', 'Good topics  and easy to understand to learn\nGreat knowledge and interesting \nThanks  for this video', 'Great intro video! 🙌👏', '""I just finished watching this video and I am so grateful for the clear and concise introduction to ChatGPT. The tutorial was easy to follow and provided a great foundation for getting started with ChatGPT. I feel much more confident and excited to begin using it now. Thank you for sharing your knowledge and experience with the community!"" - ChatGPT', 'His eyes never blink!']"
SKpu2G2q1Fk,"['I have a small moving company where I have my customers fill out an inventory list of all their furniture. The list has an api that goes into Google sheets. I was hoping to see if I can figure out the cubic sq footage of the inventory listed so I know how to estimate the move for the customer. Would you help me with that?', 'Awesome video , is this similar to a Random forest model ?', 'Ran into this amazing tool while trying to predict a time-series data. Super Cool!', 'Great work 👍👍\nBut is this ML technique useful in large data ??', 'สวัสดีครับ', 'If I have horse racing data in spreadsheet format, could I use Simple ML to build a model from that to make predictions about future race winners?', 'The Simple ML extension is a valuable cheat code for sheets. Thanks Data Professor!', 'That’s just interpolation. You really need a professor and a plug-in for that ?', 'WOW ! ... AWESOME !', 'Can this work with reducing text data like into a compressed form or is it more for numeric data sets?']"
OQv1jnw9_5s,"['Nice , i like create my own tools', 'This tutorial is beyond great!', 'Nice project!😀', 'Wonderful!', 'Awesome', 'thank\n😍', 'Awesome, my exercise for my holidays', 'Nice content']"
TbundVfb8ow,"['Thank you. Greetings from Popayan, Colombia.', 'Can you share what tools or software you use to create your diagrams? They really eye-catching and professional looking!!', 'Hey, Professor, I have problem to use the pandas  module in Python environment.', ""Yow, here's another welcome video... Always glad to have met you"", ""Thank you for everything. I made some amazing dashboards at work and it's all thanks to your videos on Streamlit. I am learning so much!"", 'I used to confuse you for Joma Tech', 'can you make video regarding data engineering?', 'can i call you data_chan ?', 'Thank you. Wish you and the community a good day.', 'you are over @ Snowflake! I saw you over there the other day. :) Kerp up the good work']"
GHoE4VkDehY,"['Really want to make a protein ligand docking app like AutoDock Vina. Would you do that next?', 'Could you please make video on protein mutation prediction server development like polyphen2, mutation assesser SNAP2', 'It will help me a lot on my bioinformatics journey , thank you', 'Please do more Bionformatics videos, your playlist is awesome!', 'This is awesome. Thanks for sharing it.', 'Your videos are great. Can you make a video on how to get started with snowpark(snowflakes python api)', 'Keep up the awesome work!!! I am suprised that you haven\'t researched ""promo sm"".', 'Can we predict protein structure using graph data structures...any code available?', 'Nice one dude, thanks for this!', 'This is so interesting. Hope you can make a tutorial video on how to design new molecules based on deep learning. Thanks sir']"
AqnFXHBZZWI,"['Thanks for update 😊', ""I started to use snowflake recently for my work and then a day or 2 back saw your video in the snowflake yt channel... Damn now I'm interested in knowing more about streamlit"", 'Join 6 Streamlit talks at BUILD 22\n📝Free registration: https://www.snowflake.com/build-2022-streamlit/', 'Thank you for the update kub ⭐💯']"
zvWhdcpPJJg,"['🥷', '🥷', 'Please, Is Django framework relevant in bioinformatics?', 'Good afternoon', 'Good Afternoon sir...\nI am Research students \n\nI want to join drug discovery course', 'Good afternoon sir.\n\nI am Research students from India.\nMy research topic is\nDrug discovery ligand based.\nI watch your video\nSo I want to join ur drug discovery cource..\n\nShall i join sir...\nI want to join cource.', 'This is amazing!!\nThank you data professor this is really helpful for me to build and structure my streamlit application.', 'thanks']"
wB7IU0EFN68,"[""I want to learn python from your videos kindly recommend me your videos I'm beginner 😊"", 'ขอบคุณนะคะ 😊🙏🏼', '🔥', '🔥', '🔥', ""Great vidéo! \nI don't share enough but I think you are right about all those positives effects of sharing knowledge and the journey ! \n\nKeep it up!"", '🔥', '🔗 Links mentioned in the video 👇\n💻 Developer survey \n1:14 Stack Overflow Developer Survey 2022 https://survey.stackoverflow.co/2022/\n1:14 Jet Brains Python Developers Survey 2021 https://lp.jetbrains.com/python-developers-survey-2021/\n\n📚 Learning resources\n1:57 freeCodeCamp YouTube https://www.youtube.com/c/Freecodecamp\n2:04 freeCodeCamp Website https://www.freecodecamp.org/\n2:11 Kaggle Learn https://www.kaggle.com/learn\n2:27 GeeksforGeeks https://www.geeksforgeeks.org/\n\n▶ YouTube channels\n2:51 freeCodeCamp https://www.youtube.com/c/Freecodecamp\n2:52 Tech with Tim https://www.youtube.com/c/TechWithTim\n2:53 Ken Jee https://www.youtube.com/c/KenJee1\n2:55 Tina Huang https://www.youtube.com/c/TinaHuang1\n2:56 Alex the Analyst https://www.youtube.com/c/AlexTheAnalyst\n\n❓Asking for coding help\n6:29 How to post a question in the Streamlit forum https://discuss.streamlit.io/t/using-streamlit-how-to-post-a-question-in-the-streamlit-forum/30960\nHow do I ask a good question? \n6:31 How do I ask a good question https://stackoverflow.com/help/how-to-ask', 'I am still loyal to Python bcs Python can do Javascript role, games, GUI and many more and the most interesting parts  are they are good to learn  Data Science, AI and any kind of automation', 'Sorry what is the second website he gaves to learn on it ?']"
lczFQ9khCA0,"['THANKS ALOT 😍', 'Thanks for this nice introduction. Is there a way to export the animations as a gif or mp4 from the jupyter notebook? I mean something like imageio.mimsave() or simpler plt.savefig().', 'Thank you so much for such useful videos.', '☁️', 'Was looking for it👍, can you show multiple dashboard', '☁😶\u200d🌫', '☁️', '☁️', 'Great tutorial ⛅', 'Great library for visualisation. Let me try.']"
o6wQ8zAkLxc,"['Great tutorial!\nOne question, how do I use the config.toml? I put the file in the folder with the other files and nothing happend, no teal color theme neither shadowing over scorecards.', 'Great ! Thanks for sharing this.', '🔥Thank you', 'I Chanin, I am following you on Medium. Can we talk. I am reproducing you code but I get stucked.', 'Thank you for a very Keep it Simple Stupid tutorial. Best of luck growing your subscriber base. You covered in less than 14 mins basic UI UX and data analysis skills. The channel converted me into a Streamlit fan. The journey has been real. Thanks again.', ""Great dashboard. I want to modify it because it doesn't fit my purpose. I have 2 questions. How to change the theme colors in heatmap and how to add filtering by year to it?\n\nUpdate: I figured out the year but still i can't find how to change color theme in charts."", 'Great video. Is it posible to create a dashboard and have a button to export data(googlesheets)+charts to a PDF document?', '🔥', ""The video is great. I was just looking for something like this to implement. However, add the style.css and with open('style.css') as f:\r\n    st.markdown(f'<style>{f.read()}</style>', unsafe_allow_html=True), the metric are still white. Any possible reasons why? I am working on linux system."", 'Hi, I have a question.\n\nIs it possible to build a real-time dashboard in streamlit? The data that will be used is from the MQTT broker']"
H85FsjneRuo,"['Great video !', 'Both of you youtubers offer fantastic content. I closely follow and learn from the valuable advice and insights shared by both of you in the fields of machine learning, data-related topics, and various tools.', 'Great Video! I have always followed your advice and needless to say that my machine learning skills have improved significantly.']"
NxHeqD9bGhk,"['Nice to meet you DataProf! I had lots of fun :)', 'I live in NYC . Data science guy here too', 'Good job']"
TzThyoL4sU4,"['Does one need a phd to enter this field?', 'What is the difference between this and your previous introduction video?', ""о мій бог, в що я вв'язався, мені потрібно лише написати диплом.."", 'Hello Data Professor! Thank you for the content. \n\nIf you could upload a video explaining the code of SMILES Transformer, that would be great!!! Thank you once again', 'Hi prof, Could you provide your youtube link for the gini index to explain the feature important?', 'Thank you so much. I have learned a lot from your youtube lectures. Is there a way to contact you directly if I have questions? I am trying to use QSAR to build a model for BBBp prediction.', 'This is an excellent review of the drug discovery process. Thanks for sharing.', 'Thank you very much ! This session is really helpful.', 'Great talk ! Had a good overview of the overall topic since it covered the basics ! And nice speck structure 🤩 ❤', 'Thank you for the excellent video lecture.']"
sJ_NhlX5ZF0,"['I would have loved to get that guitar website :)\nAnyway awesome video', ""Hi Chanin, great video as always :). I also have a question (not related to the video, sorry for hijacking it a bit haha), what's the difference between QSAR and molecular docking for drug design? Are they completely different approaches or can they be integrated? I wanted to do a project with both (something like finding molecules with QSAR and then docking them, idk) but I don't really know if it even makes sense to do that haha"", 'Both of you are awesome!! Thanks for being inspirational...', 'Kindly invite Tina Huang  ', 'Amazing Discussion Chanin', 'Awesome content, thanks for your efforts']"
xTfaJsn2PN0,"['This is great, thanks!', 'How to install archived r package?\nI want to install a archived r package ""extraTrees"", but i fail by adding it in packages.txt', ""Love the video! Just not loving the R code in strings. I guess you'd develop it somewhere else, get it working, and then paste it in. Someone was telling me on Twitter that the solution to all remote plotting needs was a Streamlit app. These apps look useful and fast to make, but not fit for interactive R graphing purposes (and correct me because I'd love to be wrong)."", 'Hello sir, I have a question: I was able to do a similar task, adding an R subprocess in my streamlit app. But when I tried deploying the app, it shows ""FileNotFoundError: [Errno 2] No such file or directory: \'Rscript\'"", meaning I don\'t have R environment in streamlit cloud. What do you think I should do to fix it?', ""anyone know how to deal with installing R packages? I am trying to install lmtest and says 'zoo' package not found. I've tried everything but not working."", 'Interesting. Thanks for sharing.', '🌟⭐✴', 'Hi, I emailed you (gglot)', 'thank you', 'Very nice!🌟']"
cGx-SIKlk5w,"['Outstanding save me thanks for sharing', 'This is super cool. Thanks', 'Helpful', 'Thanks a lot ❤', 'Is it compatible with Visual Studio Code ?', 'Super awesome .... Thanks alot', 'Prof. Could you make a special video on how to use RDkit, virtual screening using Python code?']"
qcV3GPeRpvA,"[""He doesn't show that Meta has a full stack dev options - he only shows the different courses that Meta has on Coursera which anyone can read and find."", 'Wow, all this time i just learned on YouTube, didn\'t know there are some courses from Meta, cover both Backend and frontend . Love you content :""3', 'None of these certificates are actually fully available yet.\nI\'m already a developer so went through the first few courses really fast. Once I\'m past those, it tells me that the rest of the courses are only going to be released in January(!). Expecting me to pay for Coursera until then. \n\nWhat buggs me is that nobody has finished any of the meta certificates, because none of them are complete. Yet people keep talking about how great they are, and some keep claiming they even finished them just to drive affiliate links.\n\nReally disappointed at how YouTubers keep pushing these courses without being aware of their incompleteness of them. Sure Coursera is guilty as well, but I feel a bit betrayed tbh. If nobody finished these courses, how are you gonna know how good the more advanced parts are? Or the ""job platform"" we are promised? \n\nI put actual time into these courses, fully believing that I can get those certificates within a couple days/weeks so I can add them to my CV. \n\n\nThe earliest anyone can finish any of these courses is in February 2023(!), as the last course will only become available on the 31st of January. Sure I can wait until then, but if I would\'ve known - I would\'ve worked on the IBM cert instead for example.\n\nI know you aren\'t claiming the courses are complete in this video, but I think it\'s a crucial piece of information everyone considering these certs has to consider. \n\n\nIf you are a new developer it\'s totally fine, as by the time you\'ll be done with the first few courses, you\'ll be able to do the others. The quality of the first few courses was great, no complaints there.', 'I asked for the financial aid a few days ago [ for the back-end Meta cert] but I am also interested in learning UI/UX. I was amazed to see Meta front-end also covers that so I would try to also take it to be full stack. Was considering taking the Google UI/UX too', 'Very Basic course', 'Intrigued by the Meta Database Engineer certification.  Hopefully someone will do a review.', '💢 In Your Playlist There Is Nothing About WebDevlopement Playlist.. plz I Req You to Make It Soon.. So We Can Watch Your Video Realated To Web Dev.. Also it is easy to Find Another People ❣️', 'Is financial aid available to get certificate?', 'How much do these courses cost?', 'Can it compete with CS50: Web Development course 👀?']"
9DH3MIBYLhw,"['very good video, great teaching', ""Great video Chanin!\n\nI'm happy to see that they are continuing to update Streamlit and it's features. Very underrated library.""]"
87EVnX9kTkQ,"['Awesome! Do you have or can you film a tutorial on how to set this type of automatic analysis on excel files pulling certain data and depositing into a new cab? Thank you!', 'would u help me in features extraction using NLP', 'sir i m watching ur videos which r very informative', 'Data prof’s videos helped me so much during my internship! I didn’t really know how to code in Python but I got to finish my data analysis project as a electrical engineering major...😂 So blessed with these videos😭', 'Hey Professor, I have lost the video that you had created the 3 blue columns in Data science. Can you show me again Thanks and Urgent.', 'Most times I convert the csv to parquet', 'Hi Data Professor. I have subscribed your channel from quite some time hoping to learn data science and do real time bioinformatics projects.\n\nI have a dual masters degree - in computer science and bioinformatics. But as work experience have worked as a data analyst/specialist in health care domain dealing with Clinical data and Claims, providers etc datasets.\n\nI always wanted to come back to omics data and create an impact by working in research area but never got a chance. After looking at your channel with updated tools now i am also motivated to work on some projects since currently i am unemployed and feel that this is the chance that i can upgrade my self.\n\nI even applied to may bioinformatics position but did not find a hit as i dont have real time experience to share on my resume.\n\nDo you feel - that yes i can create some impact ? If so - can you please suggest - where should i start so that i can showcase that I belong to the domain??\n\nBy the way - my skillset includes - Python, Sql, SAS(statistical Analysis system package), ETL, databases']"
ugEVqnP8xfQ,"['Hey,  I need to import openai for streamlit project. Can you specify the ways', 'What kind of problems ? Where do we get such excercises ?']"
1AiBgm-iZO4,"['🎈', ""Hi professor, I'm deploying a ml model to streamlit and after clicking predict button I'm getting error One-horse coder object has no attribute '_infrequent_enabled' can you please help me how to solve this 🙏"", 'Hi Professor ! How to customize streamlit domain ?', 'This video is very interesting. I would like to do the same but make it multi-person, that is, apply it to several people. You select the person from a list and be presented with what the video does. Greetings from Venezuela. I will be waiting for more videos.', 'Hai sir please help me how to select the topic in bioinformatics project work. please🙏🙏', 'Fantastic video thank you! 🎈', 'Ho really nice! AND DAM SO FAST :O\nThank you for sharing it (although I am not YET  famous enough for thousands of people to use such a site 😂😂😂 )', 'Very Informative video,Thanks, love your content', ""Hi Professor, link is not working using the phone :(  i don't know why. can you please help me? thanks"", 'incredible tool, thank you!']"
cSBAnFFI29E,"['✨', 'Thank you very much for sharing this video. Good luck my friend. I hope we can communicate together. I am waiting for your visit. I have my friend 👉👍👍🔔🔔🥰🥰🌹🌹🌹🌹', '✨ Colab is awesome', 'Thanks, and reply for the algorithm.👍', 'thank', 'ahhh,\ngood but sad to see that RAM and DISK specifications are also same for students too, like no more extensions in student mail id\n\nif such a thing or any other benefit exists please tell me !!', 'Thank you for your channels that are changing my career..', 'Thank you Sir']"
rBPEQW2TjZw,"['Check out this related video:\n👉 Introduction to DagsHub for Data Science https://youtu.be/SpBzOY-TIvg', 'Awesome vid once again — planning to try out dagshub for my own projects soon!  🐕', 'Sir now I am pursuing integrated mtech 5 years course specialization in data science now I completed 3rd can you please say how to and how much I need to prepare to get decent job as fresher in data science sector because there are vast number of topics I am very confused like upto how many concepts I need to cover as a fresher to get decent job in data science sector', 'Thousands of videos out there, but none match your quality content!!!', 'Hi Data Professor,  I have found your videos so helpful! Will you please do more videos on how we can analyse biological data in text and image formats and what this data could look like? I would like to learn more complex data science strategies however I am finding it difficult to incorporate my domain knowledge (molecular biology).', 'Thanx!', 'thank ... 😍', ""I have learned a lot from your, and since I might be the first comment let me ask you for a favor, please make some content on some or all of the following subjects in no particular order:\n1, timeseries forecasting\n2, using docker and git, project structure, versioning and collaboration on code in a small team\n3, data sources and using purpose built libraries in python for exploring different formats\n4, databases, indexes, keys, how to design a db for a specific purpose bonus if combined with docker :D\n5, API's, how to make them\n6, into to the major components of a production environment, project to production ready tool checklist or something.""]"
Sm-CrsUIFVk,"['Binge watch Cloud Dataholics https://www.atscale.com/dataholics/', 'So eager to watch it', 'Interesting']"
l6YfXTHk59E,"[""💡Thank you for putting together such a clear road map - I didn't realize I was starting in the middle with a lot of my thinking because I've never been in cooperate with this, I was thinking I wanted to use web scraping or tensor flow and find data to go from that - starting with blogs is a great idea! Thank you"", '💡', '💡', 'Hey data professor \nI’m currently undergoing my bSc degree in accounting and I’m also doing online courses in data science as for my masters should I either do a MSc in computer science or MCs in data science?\nCause I would love to become a data scientist', ""Hi P Chanin, I just stumbled by your channel and I love your content I'm working on a startup to help SMEs take advantage of their own data. I'm also a fellow Thai so maybe you can help a younger brother out and offer some advice. Would love to get in touch with you."", ""I usually make my data science projects based on what I'm learning, when I get stuck, I look for interesting data or I look at your videos and social media for coding challenges. Thanks for the new ideias! Hope to see you talk more about how to deploy models as API. 💡"", 'Much needed video at right time. Golden content here!! Thank you Data Professor', ""as a beginner i'am thinking of doing a project  about whether we're in a financial bubble or not, do you think it's a good idea ? it's\n more data analysis than ML."", 'Thanks for that tutorial. Help me a lot! <3', 'This is EXACTLY what I needed> Thank you for going this in-depth into the entire DS workflow! This is incredibly helpful!']"
SpBzOY-TIvg,"['Check out this related video:\n👉 MLOps 101 - A Practical Tutorial on Creating a Machine Learning Project with DagsHub https://youtu.be/rBPEQW2TjZw', '🐶', 'You should probably disclose in the description that this video was sponsored by Daghub.', 'Definitely going to try it, 🐶 thanks', 'Very handy tool. I really liked the integration with mlflow.', 'Dagsup is very handy for DS', 'Spent 15 minutes in playing with that interactive ui of color on the page.']"
29ZQ3TDGgRQ,"['Is there a way to export the data into a new csv with the model results included', 'Really thanks a lot. Its very much useful', 'Great ❤video for me really helpful ❤', '🐍 Thanks for this. I appreciate you not just going straight into the core material, but talking about the organization with the headers.', '🐍', '🐍🐍🐍🐍🐍', 'snake', 'Amazing- I really liked how casually you would think to add colors, trend line and straight away go and add a few lines to reflect in output. Shows how comfortable you’re- for a beginner like me- that was so instructive when you speak out your thoughts on the go.', '🐍fun project - easy to follow', 'This video is amazing! You explain things so clearly, and the quality is excellent.']"
5Sv407gadB8,"['We hope the community loves it and makes them laugh!', 'Thanks for sharing, Chanin!', ""I take that back, it's really good!"", '👏🏻👏🏻', 'This looks so bad I HAVE to check it out lmao']"
B7l5qcHAHro,"['🐍 Thank you. I have been watching your videos for Streamlit for 3 days now and I have been creating different projects and idea on each videos that you are covering Streamlit.\n\nThanks again, Data Professor.', 'Can u please do an implementation of the hydraulic package tutorial using streamlit to do the navigation bar on top I think it would be very interesting to see how it works \nThank you!', 'Thank you\r\nVery helpful content', ""I'm taking your videos from the very start of the channel one after the other.. Thanks for being such a deep pocket of knowledge for me as a Pharmaceutical Chemist who is into drug design.. I've applied skills learn from you already In my research and I can't wait to have them published in top rated journals like you have done.. Looking forward to putting what I learn here into good use as well.""]"
sm3IuE7zkYQ,"['Spending 11min talking about your sponsor is not the best way to get subscribers/viewers...', 'Hey anyone know where coding to edit header ? i want to add image before my name like this video', '🎈 thanks for the video shared..', ""Great video, thank you! It really helped that you didn't go too far from the default setup and only highlighted the parts that have to be personalized"", '🎈', 'SLAVA UKRAINI', ""Awesome in-depth video, thank you! Bookmarking because I'll need to come back and re-watch. Oh, and I think you dropped this: 🎈"", 'Hello Sir, can you make a video on explaining multilabel classification in machine learning.', ""To Piggy back on the question below about using others' projects, would you also include projects that you made during a tutorial?"", ""Hey Data Professor, amazing tutorial, thanks. When it comes to the portfolio projects, would you only post your own personal project (i.e. something you have completely came up by yourself from scratch) or you don't see a problem in publishing projects that someone else came up with (I mean parts of the solution, not complete ctrl+c and ctrl+v)? I'd like to know your opinion. Thanks again 😊""]"
l2nBO_LkkcQ,"['Hellow sir,I want to analyse my gene expression data with WGCNA BUT I am unable to get proper instruction.Please kindly help me on  that regard.Thanks', 'Thanks for the recommendation!', 'Informative and helpful, thanks professor 👍', ""This could be good for Data Analyst without good capabilities in coding to do some work of Data Scientist...It's not a good thing for developers to not develop by their own. Secondly , I don't find it visually impressive as it is using Plotly ...because , yes , Plotly , Dash  are the 2 best visualisations tools from what I know , maybe I am wrong , who knows but anyway wanted to share my thoughts.\n\nIf anyone has something to say , feel free :)""]"
